trialNumber,repeatNumber,stimulusLeft,stimulusLeftPayoff_1,stimulusLeftPayoff_2,stimulusRight,stimulusRightPayoff_1,stimulusRightPayoff_2,choice,choiceCompleteTime,choiceStartTime,stimulusOnsetTime,goCueTime,rewardTime,rewardVolume,rewardBeepFreq,rewardBeepOnsetTime,punishSoundOnsetTime
1,1,None,0,0,Cross,3,3,Left,4.09651790000498,3.84882414690219,3.5630586000625,3.77056870004162,NaN,NaN,1000,4.20562860020436,NaN
2,2,None,0,0,Cross,3,3,Left,33.4638492001686,33.2231965416577,16.4924245001748,16.6964204001706,NaN,NaN,1000,33.5752185001038,NaN
3,3,None,0,0,Cross,3,3,Left,38.0984670000616,37.862540477654,37.7378371001687,37.9432930999901,NaN,NaN,1000,38.2061366001144,NaN
4,4,None,0,0,Cross,3,3,Left,49.10264190007,49.0580099232029,42.2160263000987,42.4207719000988,NaN,NaN,1000,49.2107850001194,NaN
5,5,None,0,0,Cross,3,3,Left,53.9809128001798,53.7736588581465,53.489775700029,53.6947445000987,NaN,NaN,1000,54.0910263000987,NaN
6,6,None,0,0,Cross,3,3,Left,70.0143448000308,69.8373872365337,59.371920700185,59.5778820000123,NaN,NaN,1000,70.1246866001748,NaN
7,7,None,0,0,Cross,3,3,Right,77.5639510001056,77.3244337332435,77.2650686001871,77.4729554001242,77.6744505001698,3,5200,77.6742907001171,NaN
8,1,Cross,3,3,None,0,0,Right,100.098206200171,99.8496694224887,81.5071963001974,81.7109750001691,NaN,NaN,1000,100.207353200065,NaN
9,2,Cross,3,3,None,0,0,Right,167.00801780005,166.869876097888,102.655912500108,102.860248800134,NaN,NaN,1000,167.122859300114,NaN
10,3,Cross,3,3,None,0,0,Right,178.349961000029,178.315625939984,170.392244599992,170.596461200155,NaN,NaN,1000,178.461395400111,NaN
11,4,Cross,3,3,None,0,0,Right,182.783583800076,182.567340481328,182.432280100184,182.638086900115,NaN,NaN,1000,182.892034500139,NaN
12,5,Cross,3,3,None,0,0,Left,190.332448100206,190.261936575174,187.024357300019,187.229305100162,190.441696500173,3,5200,190.441540600033,NaN
13,1,Cross,3,3,None,0,0,Left,193.712409700034,193.591886729235,193.387981200125,193.592707300093,193.830200700089,3,5200,193.830112300115,NaN
14,1,Cross,3,3,None,0,0,Right,197.899807200069,197.651312673232,196.699516199995,196.903941299999,NaN,NaN,1000,198.009280700004,NaN
15,2,Cross,3,3,None,0,0,Right,205.015942900209,204.888078773394,201.70949160005,201.914831200149,NaN,NaN,1000,205.125607900089,NaN
16,3,Cross,3,3,None,0,0,Left,211.917149800109,211.70058907941,207.857653100044,208.062698600115,212.025670800125,3,5200,212.025597700151,NaN
17,1,Cross,3,3,None,0,0,Left,220.688993900083,220.603856356582,216.470765600214,216.677030300023,220.808157500112,3,5200,220.807963700034,NaN
18,1,Cross,3,3,None,0,0,Left,224.482355100103,224.339749105042,223.398926900001,223.6038362002,224.592773800017,3,5200,224.59270080016,NaN
19,1,Cross,3,3,None,0,0,Right,228.132303700084,227.883353256155,227.038419899996,227.243623899994,NaN,NaN,1000,228.240729800193,NaN
20,2,Cross,3,3,None,0,0,Left,231.300897900015,231.152259411057,230.843527900055,231.047545100097,231.412616900168,3,5200,231.412519200006,NaN
21,1,Cross,3,3,None,0,0,Left,234.115556900157,233.902291573118,233.80198400002,234.009115300141,234.224845600082,3,5200,234.224773900118,NaN
22,1,None,0,0,Cross,3,3,Right,238.933585399995,238.785811505746,238.376527300104,238.582370700082,239.043610600056,3,5200,239.043538400205,NaN
23,1,None,0,0,Cross,3,3,Right,243.849331800127,243.782262836816,241.673373300117,241.882759000175,243.956310000038,3,5200,243.956238700077,NaN
24,1,None,0,0,Cross,3,3,Right,247.166657200083,246.987072792603,246.560825400054,246.764913200168,247.274314100156,3,5200,247.274241200183,NaN
25,1,None,0,0,Cross,3,3,Right,250.216937400168,250.143047549063,249.605759200174,249.817427700153,250.328195000067,3,5200,250.327930900035,NaN
26,1,None,0,0,Cross,3,3,Right,253.550561800133,253.476049903082,252.765467400197,252.971620600205,253.65978830005,3,5200,253.659716100199,NaN
27,1,None,0,0,Cross,3,3,Right,257.299502200214,257.245516851079,256.240791100077,256.445168800186,257.40727130021,3,5200,257.407198400004,NaN
28,1,Cross,3,3,None,0,0,Left,265.107587800128,265.037783343578,262.937785300193,263.144101500046,265.219348500017,3,5200,265.21927380003,NaN
29,1,Cross,3,3,None,0,0,Right,272.598720200127,272.537038640119,269.540276200045,269.744156400207,NaN,NaN,1000,272.712255500024,NaN
30,2,Cross,3,3,None,0,0,Right,277.382326500025,277.133651776705,275.375236200169,275.58655430004,NaN,NaN,1000,277.490147900069,NaN
31,3,Cross,3,3,None,0,0,Left,283.216495100176,283.1647988935,281.414217500016,281.622296700021,283.327570800204,3,5200,283.327416400192,NaN
32,1,None,0,0,Cross,3,3,Left,288.876014500158,288.829682015348,287.486757400213,287.692065100186,NaN,NaN,1000,288.996288900031,NaN
33,2,None,0,0,Cross,3,3,Right,293.840217200108,293.752880547429,291.729591800133,291.933951399988,293.949370400049,3,5200,293.949297700077,NaN
34,1,None,0,0,Cross,3,3,Right,297.016234599985,296.902750903973,296.318247300107,296.523581700167,297.124260500073,3,5200,297.124189099995,NaN
35,1,None,0,0,Cross,3,3,Right,304.066292700125,303.819036008557,301.887870999984,302.095003199996,304.175681099994,3,5200,304.175608600024,NaN
36,1,Cross,3,3,None,0,0,Left,310.539041400189,310.463675316889,308.01381140016,308.223098200047,310.650578700006,3,5200,310.650506000035,NaN
37,1,Cross,3,3,None,0,0,Left,314.234346600017,314.150732866023,313.909883300075,314.116109000053,314.342416200088,3,5200,314.342318700161,NaN
38,1,None,0,0,Cross,3,3,Right,318.759181100177,318.698510803282,317.651918900199,317.855848600157,318.871986299986,3,5200,318.871912200004,NaN
39,1,None,0,0,Cross,3,3,Right,323.821100200061,323.594239535742,322.880033400143,323.086873700144,323.932404100196,3,5200,323.932211000007,NaN
40,1,Cross,3,3,None,0,0,Right,329.466100500198,329.411732655484,326.500634800177,326.706722500036,NaN,NaN,1000,329.573425000068,NaN
41,2,Cross,3,3,None,0,0,Left,334.466461800039,334.295252588112,332.433332200162,332.64600970014,334.577435200103,3,5200,334.577240300132,NaN
42,1,Cross,3,3,None,0,0,Left,338.288491100073,338.217329534004,337.947253100108,338.151087300153,338.395800000057,3,5200,338.395720300032,NaN
