animalID,recordingDate,recordingID,sessionName,learningData,twoP,ROI,path,sessionNameWithPath,analysispathname,filepathname,eventTimesExtracted,eventTimesPath,imagingDataExtracted,imagingDataPath
OFZ011,2023-05-31,1,2023-05-31_1_OFZ011,True,True,0,Z:/OFZ011\2023-05-31,Z:/OFZ011\2023-05-31\1\2023-05-31_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-05-31_OFZ011_1\,Z:/OFZ011\2023-05-31\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-05-31_OFZ011_1\2023-05-31_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-05-31_OFZ011_1\imaging-data.pkl
OFZ011,2023-06-01,1,2023-06-01_1_OFZ011,True,False,0,Z:/OFZ011\2023-06-01,Z:/OFZ011\2023-06-01\1\2023-06-01_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-01_OFZ011_1\,Z:/OFZ011\2023-06-01\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-01_OFZ011_1\2023-06-01_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-01_OFZ011_1\imaging-data.pkl
OFZ011,2023-06-02,1,2023-06-02_1_OFZ011,True,False,0,Z:/OFZ011\2023-06-02,Z:/OFZ011\2023-06-02\1\2023-06-02_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-02_OFZ011_1\,Z:/OFZ011\2023-06-02\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-02_OFZ011_1\2023-06-02_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-02_OFZ011_1\imaging-data.pkl
OFZ011,2023-06-03,1,2023-06-03_1_OFZ011,True,False,0,Z:/OFZ011\2023-06-03,Z:/OFZ011\2023-06-03\1\2023-06-03_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-03_OFZ011_1\,Z:/OFZ011\2023-06-03\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-03_OFZ011_1\2023-06-03_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-03_OFZ011_1\imaging-data.pkl
OFZ011,2023-06-04,1,2023-06-04_1_OFZ011,True,False,0,Z:/OFZ011\2023-06-04,Z:/OFZ011\2023-06-04\1\2023-06-04_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-04_OFZ011_1\,Z:/OFZ011\2023-06-04\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-04_OFZ011_1\2023-06-04_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-04_OFZ011_1\imaging-data.pkl
OFZ011,2023-06-05,1,2023-06-05_1_OFZ011,True,True,1,Z:/OFZ011\2023-06-05,Z:/OFZ011\2023-06-05\1\2023-06-05_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-05_OFZ011_1\,Z:/OFZ011\2023-06-05\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-05_OFZ011_1\2023-06-05_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-05_OFZ011_1\imaging-data.pkl
OFZ011,2023-06-06,1,2023-06-06_1_OFZ011,True,False,0,Z:/OFZ011\2023-06-06,Z:/OFZ011\2023-06-06\1\2023-06-06_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-06_OFZ011_1\,Z:/OFZ011\2023-06-06\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-06_OFZ011_1\2023-06-06_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-06_OFZ011_1\imaging-data.pkl
OFZ011,2023-06-07,1,2023-06-07_1_OFZ011,True,False,0,Z:/OFZ011\2023-06-07,Z:/OFZ011\2023-06-07\1\2023-06-07_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-07_OFZ011_1\,Z:/OFZ011\2023-06-07\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-07_OFZ011_1\2023-06-07_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-07_OFZ011_1\imaging-data.pkl
OFZ011,2023-06-08,1,2023-06-08_1_OFZ011,True,False,0,Z:/OFZ011\2023-06-08,Z:/OFZ011\2023-06-08\1\2023-06-08_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-08_OFZ011_1\,Z:/OFZ011\2023-06-08\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-08_OFZ011_1\2023-06-08_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-08_OFZ011_1\imaging-data.pkl
OFZ011,2023-06-09,1,2023-06-09_1_OFZ011,True,False,0,Z:/OFZ011\2023-06-09,Z:/OFZ011\2023-06-09\1\2023-06-09_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-09_OFZ011_1\,Z:/OFZ011\2023-06-09\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-09_OFZ011_1\2023-06-09_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-09_OFZ011_1\imaging-data.pkl
OFZ011,2023-06-11,2,2023-06-11_2_OFZ011,True,True,0,Z:/OFZ011\2023-06-11,Z:/OFZ011\2023-06-11\2\2023-06-11_2_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-11_OFZ011_2\,Z:/OFZ011\2023-06-11\2,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-11_OFZ011_2\2023-06-11_2_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-11_OFZ011_2\imaging-data.pkl
OFZ011,2023-06-12,1,2023-06-12_1_OFZ011,True,False,0,Z:/OFZ011\2023-06-12,Z:/OFZ011\2023-06-12\1\2023-06-12_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-12_OFZ011_1\,Z:/OFZ011\2023-06-12\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-12_OFZ011_1\2023-06-12_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-12_OFZ011_1\imaging-data.pkl
OFZ011,2023-06-13,1,2023-06-13_1_OFZ011,True,False,0,Z:/OFZ011\2023-06-13,Z:/OFZ011\2023-06-13\1\2023-06-13_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-13_OFZ011_1\,Z:/OFZ011\2023-06-13\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-13_OFZ011_1\2023-06-13_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-13_OFZ011_1\imaging-data.pkl
OFZ011,2023-06-14,1,2023-06-14_1_OFZ011,True,False,0,Z:/OFZ011\2023-06-14,Z:/OFZ011\2023-06-14\1\2023-06-14_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-14_OFZ011_1\,Z:/OFZ011\2023-06-14\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-14_OFZ011_1\2023-06-14_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-14_OFZ011_1\imaging-data.pkl
OFZ011,2023-06-15,1,2023-06-15_1_OFZ011,True,True,0,Z:/OFZ011\2023-06-15,Z:/OFZ011\2023-06-15\1\2023-06-15_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-15_OFZ011_1\,Z:/OFZ011\2023-06-15\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-15_OFZ011_1\2023-06-15_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-15_OFZ011_1\imaging-data.pkl
OFZ011,2023-06-16,1,2023-06-16_1_OFZ011,True,False,0,Z:/OFZ011\2023-06-16,Z:/OFZ011\2023-06-16\1\2023-06-16_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-16_OFZ011_1\,Z:/OFZ011\2023-06-16\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-16_OFZ011_1\2023-06-16_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-16_OFZ011_1\imaging-data.pkl
OFZ011,2023-06-19,1,2023-06-19_1_OFZ011,True,False,0,Z:/OFZ011\2023-06-19,Z:/OFZ011\2023-06-19\1\2023-06-19_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-19_OFZ011_1\,Z:/OFZ011\2023-06-19\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-19_OFZ011_1\2023-06-19_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-19_OFZ011_1\imaging-data.pkl
OFZ011,2023-06-20,1,2023-06-20_1_OFZ011,True,True,0,Z:/OFZ011\2023-06-20,Z:/OFZ011\2023-06-20\1\2023-06-20_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-20_OFZ011_1\,Z:/OFZ011\2023-06-20\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-20_OFZ011_1\2023-06-20_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-20_OFZ011_1\imaging-data.pkl
OFZ011,2023-06-21,1,2023-06-21_1_OFZ011,True,False,0,Z:/OFZ011\2023-06-21,Z:/OFZ011\2023-06-21\1\2023-06-21_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-21_OFZ011_1\,Z:/OFZ011\2023-06-21\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-21_OFZ011_1\2023-06-21_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-06-21_OFZ011_1\imaging-data.pkl
